nb_visites,nb_views,nb_addtocarts,nb_transactions
189,170.0,12.0,7.0
505,435.0,63.0,7.0
166,146.0,13.0,7.0
113,100.0,6.0,7.0
136,119.0,10.0,7.0
325,289.0,29.0,7.0
229,208.0,14.0,7.0
76,53.0,16.0,7.0
252,234.0,11.0,7.0
363,335.0,21.0,7.0
194,175.0,12.0,7.0
297,274.0,16.0,7.0
157,135.0,15.0,7.0
217,193.0,17.0,7.0
219,195.0,17.0,7.0
131,115.0,9.0,7.0
118,99.0,12.0,7.0
265,241.0,17.0,7.0
703,670.0,26.0,7.0
56,38.0,11.0,7.0
343,317.0,19.0,7.0
338,287.0,44.0,7.0
368,345.0,16.0,7.0
123,106.0,10.0,7.0
140,118.0,15.0,7.0
238,217.0,14.0,7.0
158,138.0,13.0,7.0
426,378.0,41.0,7.0
185,167.0,11.0,7.0
203,183.0,13.0,7.0
131,114.0,10.0,7.0
119,99.0,13.0,7.0
198,185.0,6.0,7.0
119,103.0,9.0,7.0
96,78.0,11.0,7.0
125,107.0,11.0,7.0
219,197.0,15.0,7.0
210,187.0,16.0,7.0
317,294.0,16.0,7.0
256,238.0,11.0,7.0
160,147.0,6.0,7.0
86,70.0,9.0,7.0
194,179.0,8.0,7.0
415,392.0,16.0,7.0
520,483.0,30.0,7.0
732,706.0,19.0,7.0
246,226.0,13.0,7.0
191,168.0,16.0,7.0
526,498.0,21.0,7.0
244,226.0,11.0,7.0
220,202.0,11.0,7.0
232,213.0,12.0,7.0
114,95.0,12.0,7.0
203,184.0,12.0,7.0
187,165.0,15.0,7.0
438,416.0,15.0,7.0
254,232.0,15.0,7.0
174,158.0,9.0,7.0
471,444.0,20.0,7.0
273,232.0,34.0,7.0
391,371.0,13.0,7.0
653,599.0,47.0,7.0
327,295.0,25.0,7.0
693,654.0,32.0,7.0
124,101.0,16.0,7.0
188,166.0,15.0,7.0
10,3.0,0.0,7.0
350,322.0,21.0,7.0
126,110.0,9.0,7.0
253,225.0,21.0,7.0
122,106.0,9.0,7.0
118,103.0,8.0,7.0
572,548.0,17.0,7.0
163,144.0,12.0,7.0
98,84.0,8.0,6.0
100,84.0,10.0,6.0
136,118.0,12.0,6.0
406,382.0,18.0,6.0
125,113.0,6.0,6.0
277,258.0,13.0,6.0
494,478.0,10.0,6.0
467,445.0,16.0,6.0
95,79.0,10.0,6.0
289,270.0,13.0,6.0
396,370.0,20.0,6.0
260,246.0,8.0,6.0
83,62.0,15.0,6.0
121,109.0,6.0,6.0
280,255.0,19.0,6.0
222,195.0,21.0,6.0
510,482.0,22.0,6.0
188,154.0,28.0,6.0
390,368.0,16.0,6.0
160,140.0,14.0,6.0
120,103.0,11.0,6.0
192,179.0,7.0,6.0
308,290.0,12.0,6.0
383,355.0,22.0,6.0
300,279.0,15.0,6.0
104,89.0,9.0,6.0
188,164.0,18.0,6.0
161,143.0,12.0,6.0
213,193.0,14.0,6.0
233,215.0,12.0,6.0
261,246.0,9.0,6.0
99,79.0,14.0,6.0
237,215.0,16.0,6.0
136,119.0,11.0,6.0
261,246.0,9.0,6.0
531,512.0,13.0,6.0
356,329.0,21.0,6.0
212,198.0,8.0,6.0
210,193.0,11.0,6.0
67,49.0,12.0,6.0
420,394.0,20.0,6.0
122,102.0,14.0,6.0
181,166.0,9.0,6.0
84,74.0,4.0,6.0
107,94.0,7.0,6.0
125,115.0,4.0,6.0
89,76.0,7.0,6.0
135,122.0,7.0,6.0
181,168.0,7.0,6.0
258,245.0,7.0,6.0
366,333.0,27.0,6.0
1072,1039.0,27.0,6.0
25,12.0,7.0,6.0
95,83.0,6.0,6.0
253,232.0,15.0,6.0
293,279.0,8.0,6.0
459,434.0,19.0,6.0
543,496.0,41.0,6.0
370,353.0,11.0,6.0
89,75.0,8.0,6.0
395,378.0,11.0,6.0
119,103.0,10.0,6.0
112,91.0,15.0,6.0
75,63.0,6.0,6.0
170,151.0,13.0,6.0
340,295.0,39.0,6.0
123,105.0,12.0,6.0
374,343.0,25.0,6.0
288,272.0,10.0,6.0
175,158.0,11.0,6.0
125,109.0,10.0,6.0
280,261.0,13.0,6.0
830,801.0,23.0,6.0
125,104.0,15.0,6.0
228,213.0,9.0,6.0
394,377.0,11.0,6.0
184,167.0,11.0,6.0
95,80.0,9.0,6.0
289,269.0,14.0,6.0
572,545.0,21.0,6.0
242,222.0,14.0,6.0
209,186.0,17.0,6.0
111,98.0,7.0,6.0
146,128.0,12.0,6.0
38,24.0,8.0,6.0
70,51.0,13.0,6.0
613,591.0,16.0,6.0
165,150.0,9.0,6.0
115,92.0,17.0,6.0
272,235.0,31.0,6.0
1039,1001.0,32.0,6.0
268,249.0,13.0,6.0
193,179.0,8.0,6.0
184,164.0,14.0,6.0
59,46.0,7.0,6.0
72,60.0,6.0,6.0
121,108.0,7.0,6.0
139,121.0,12.0,6.0
153,136.0,11.0,6.0
465,439.0,20.0,6.0
93,78.0,9.0,6.0
251,235.0,10.0,6.0
425,403.0,16.0,6.0
521,496.0,19.0,6.0
25,15.0,4.0,6.0
347,328.0,13.0,6.0
71,59.0,6.0,6.0
340,317.0,17.0,6.0
428,392.0,30.0,6.0
107,84.0,17.0,6.0
379,359.0,14.0,6.0
105,90.0,9.0,6.0
93,75.0,12.0,6.0
511,497.0,8.0,6.0
106,90.0,10.0,6.0
153,136.0,11.0,6.0
267,244.0,17.0,6.0
291,265.0,20.0,6.0
92,78.0,8.0,6.0
169,153.0,11.0,5.0
66,56.0,5.0,5.0
103,90.0,8.0,5.0
401,379.0,17.0,5.0
58,47.0,6.0,5.0
266,252.0,9.0,5.0
517,490.0,22.0,5.0
137,117.0,15.0,5.0
169,155.0,9.0,5.0
612,590.0,17.0,5.0
625,575.0,45.0,5.0
76,68.0,3.0,5.0
388,366.0,17.0,5.0
212,199.0,8.0,5.0
76,64.0,7.0,5.0
188,174.0,9.0,5.0
163,152.0,6.0,5.0
130,115.0,10.0,5.0
466,452.0,9.0,5.0
91,74.0,12.0,5.0
213,195.0,13.0,5.0
134,117.0,12.0,5.0
186,166.0,15.0,5.0
224,210.0,9.0,5.0
46,35.0,6.0,5.0
141,130.0,6.0,5.0
119,105.0,9.0,5.0
166,152.0,9.0,5.0
81,72.0,4.0,5.0
171,150.0,16.0,5.0
124,110.0,9.0,5.0
210,196.0,9.0,5.0
188,169.0,14.0,5.0
205,189.0,11.0,5.0
158,147.0,6.0,5.0
254,237.0,12.0,5.0
326,314.0,7.0,5.0
107,93.0,9.0,5.0
60,50.0,5.0,5.0
556,521.0,30.0,5.0
235,220.0,10.0,5.0
118,107.0,6.0,5.0
210,194.0,11.0,5.0
293,274.0,14.0,5.0
445,424.0,16.0,5.0
51,40.0,6.0,5.0
21,8.0,8.0,5.0
170,155.0,10.0,5.0
456,440.0,11.0,5.0
162,146.0,11.0,5.0
56,43.0,8.0,5.0
271,253.0,13.0,5.0
56,45.0,6.0,5.0
118,102.0,11.0,5.0
86,72.0,9.0,5.0
135,121.0,9.0,5.0
34,24.0,5.0,5.0
380,361.0,14.0,5.0
169,158.0,6.0,5.0
867,856.0,6.0,5.0
100,88.0,7.0,5.0
379,361.0,13.0,5.0
119,105.0,9.0,5.0
214,195.0,14.0,5.0
96,83.0,8.0,5.0
76,65.0,6.0,5.0
219,199.0,15.0,5.0
241,225.0,11.0,5.0
117,101.0,11.0,5.0
27,16.0,6.0,5.0
239,228.0,6.0,5.0
230,205.0,20.0,5.0
171,154.0,12.0,5.0
190,176.0,9.0,5.0
326,287.0,34.0,5.0
86,70.0,11.0,5.0
346,326.0,15.0,5.0
193,174.0,14.0,5.0
708,681.0,22.0,5.0
304,287.0,12.0,5.0
101,81.0,15.0,5.0
178,165.0,8.0,5.0
214,201.0,8.0,5.0
44,31.0,8.0,5.0
370,360.0,5.0,5.0
103,92.0,6.0,5.0
123,113.0,5.0,5.0
143,126.0,12.0,5.0
170,153.0,12.0,5.0
274,258.0,11.0,5.0
56,44.0,7.0,5.0
66,58.0,3.0,5.0
189,174.0,10.0,5.0
50,38.0,7.0,5.0
238,220.0,13.0,5.0
177,165.0,7.0,5.0
143,132.0,6.0,5.0
125,114.0,6.0,5.0
266,245.0,16.0,5.0
41,31.0,5.0,5.0
156,135.0,16.0,5.0
29,18.0,6.0,5.0
190,175.0,10.0,5.0
83,71.0,7.0,5.0
82,62.0,15.0,5.0
94,81.0,8.0,5.0
143,129.0,9.0,5.0
260,238.0,17.0,5.0
35,25.0,5.0,5.0
144,128.0,11.0,5.0
248,234.0,9.0,5.0
243,228.0,10.0,5.0
510,461.0,44.0,5.0
197,180.0,12.0,5.0
643,626.0,12.0,5.0
171,157.0,9.0,5.0
73,60.0,8.0,5.0
144,128.0,11.0,5.0
253,232.0,16.0,5.0
189,175.0,9.0,5.0
428,404.0,19.0,5.0
284,264.0,15.0,5.0
116,102.0,9.0,5.0
244,220.0,19.0,5.0
398,383.0,10.0,5.0
241,219.0,17.0,5.0
199,180.0,14.0,5.0
149,133.0,11.0,5.0
138,124.0,9.0,5.0
73,63.0,5.0,5.0
159,143.0,11.0,5.0
206,195.0,6.0,5.0
429,408.0,16.0,5.0
276,246.0,25.0,5.0
225,215.0,5.0,5.0
93,84.0,4.0,5.0
348,331.0,12.0,5.0
183,160.0,18.0,5.0
65,54.0,6.0,5.0
192,178.0,9.0,5.0
194,177.0,12.0,5.0
224,208.0,11.0,5.0
91,80.0,6.0,5.0
131,117.0,9.0,5.0
90,76.0,9.0,5.0
90,78.0,7.0,5.0
217,185.0,27.0,5.0
107,93.0,9.0,5.0
63,52.0,6.0,5.0
226,211.0,10.0,5.0
57,45.0,7.0,5.0
142,127.0,10.0,5.0
47,35.0,7.0,5.0
109,97.0,7.0,5.0
250,231.0,14.0,5.0
213,191.0,17.0,5.0
60,48.0,7.0,5.0
81,68.0,8.0,5.0
148,135.0,8.0,5.0
45,36.0,4.0,5.0
247,236.0,6.0,5.0
149,131.0,13.0,5.0
85,72.0,8.0,5.0
132,120.0,7.0,5.0
320,303.0,12.0,5.0
182,165.0,12.0,5.0
339,324.0,10.0,5.0
907,874.0,28.0,5.0
57,45.0,7.0,5.0
183,170.0,8.0,5.0
75,65.0,5.0,5.0
119,101.0,13.0,5.0
412,383.0,24.0,5.0
48,37.0,6.0,5.0
52,37.0,10.0,5.0
263,239.0,19.0,5.0
861,824.0,32.0,5.0
235,220.0,10.0,5.0
94,83.0,6.0,5.0
339,316.0,18.0,5.0
225,198.0,22.0,5.0
136,103.0,28.0,5.0
134,120.0,9.0,5.0
88,75.0,8.0,5.0
52,40.0,7.0,5.0
73,58.0,10.0,5.0
561,541.0,15.0,5.0
148,117.0,26.0,5.0
7,2.0,0.0,5.0
237,204.0,28.0,5.0
237,221.0,11.0,5.0
94,85.0,4.0,5.0
55,44.0,6.0,5.0
122,110.0,7.0,5.0
105,92.0,8.0,5.0
72,59.0,8.0,5.0
388,367.0,16.0,5.0
82,70.0,7.0,5.0
236,219.0,12.0,5.0
109,95.0,9.0,5.0
212,198.0,9.0,5.0
85,73.0,7.0,5.0
195,176.0,14.0,5.0
288,269.0,14.0,5.0
117,97.0,15.0,5.0
133,121.0,7.0,5.0
234,219.0,10.0,5.0
67,60.0,2.0,5.0
292,273.0,14.0,5.0
206,181.0,20.0,5.0
45,34.0,6.0,5.0
260,233.0,22.0,5.0
114,94.0,15.0,5.0
118,108.0,5.0,5.0
26,21.0,0.0,5.0
89,76.0,8.0,5.0
70,59.0,6.0,5.0
375,357.0,13.0,5.0
154,141.0,8.0,5.0
234,218.0,11.0,5.0
70,60.0,5.0,5.0
145,132.0,8.0,5.0
110,95.0,10.0,5.0
135,127.0,3.0,5.0
113,92.0,16.0,5.0
76,65.0,6.0,5.0
58,49.0,4.0,5.0
86,76.0,5.0,5.0
197,174.0,18.0,5.0
298,282.0,11.0,5.0
37,24.0,8.0,5.0
86,73.0,8.0,5.0
176,159.0,12.0,5.0
289,273.0,11.0,5.0
209,191.0,13.0,5.0
240,225.0,10.0,5.0
142,129.0,8.0,5.0
498,482.0,11.0,5.0
382,366.0,11.0,5.0
318,299.0,15.0,4.0
150,135.0,11.0,4.0
61,55.0,2.0,4.0
45,29.0,12.0,4.0
69,61.0,4.0,4.0
45,37.0,4.0,4.0
185,176.0,5.0,4.0
250,237.0,9.0,4.0
207,198.0,5.0,4.0
45,36.0,5.0,4.0
632,616.0,12.0,4.0
157,144.0,9.0,4.0
148,133.0,11.0,4.0
178,169.0,5.0,4.0
9,5.0,0.0,4.0
168,157.0,7.0,4.0
63,54.0,5.0,4.0
69,57.0,8.0,4.0
57,49.0,4.0,4.0
255,240.0,11.0,4.0
18,10.0,4.0,4.0
153,140.0,9.0,4.0
26,10.0,12.0,4.0
107,94.0,9.0,4.0
209,196.0,9.0,4.0
140,126.0,10.0,4.0
44,35.0,5.0,4.0
137,127.0,6.0,4.0
171,160.0,7.0,4.0
180,163.0,13.0,4.0
368,356.0,8.0,4.0
227,216.0,7.0,4.0
80,69.0,7.0,4.0
92,81.0,7.0,4.0
174,163.0,7.0,4.0
116,107.0,5.0,4.0
43,32.0,7.0,4.0
360,347.0,9.0,4.0
116,104.0,8.0,4.0
59,45.0,10.0,4.0
151,141.0,6.0,4.0
29,17.0,8.0,4.0
91,82.0,5.0,4.0
98,85.0,9.0,4.0
141,129.0,8.0,4.0
82,68.0,10.0,4.0
74,63.0,7.0,4.0
251,240.0,7.0,4.0
98,90.0,4.0,4.0
195,180.0,11.0,4.0
90,81.0,5.0,4.0
167,152.0,11.0,4.0
302,281.0,17.0,4.0
59,49.0,6.0,4.0
58,47.0,7.0,4.0
53,42.0,7.0,4.0
120,110.0,6.0,4.0
114,105.0,5.0,4.0
118,105.0,9.0,4.0
94,79.0,11.0,4.0
110,100.0,6.0,4.0
321,271.0,46.0,4.0
192,184.0,4.0,4.0
367,338.0,25.0,4.0
28,20.0,4.0,4.0
410,395.0,11.0,4.0
150,139.0,7.0,4.0
59,52.0,3.0,4.0
352,331.0,17.0,4.0
104,86.0,14.0,4.0
645,610.0,31.0,4.0
108,100.0,4.0,4.0
62,46.0,12.0,4.0
168,157.0,7.0,4.0
63,54.0,5.0,4.0
80,67.0,9.0,4.0
186,168.0,14.0,4.0
98,89.0,5.0,4.0
203,184.0,15.0,4.0
160,148.0,8.0,4.0
170,159.0,7.0,4.0
165,150.0,11.0,4.0
116,106.0,6.0,4.0
13,9.0,0.0,4.0
61,50.0,7.0,4.0
127,116.0,7.0,4.0
96,87.0,5.0,4.0
530,509.0,17.0,4.0
87,79.0,4.0,4.0
71,59.0,8.0,4.0
18,9.0,5.0,4.0
78,67.0,7.0,4.0
97,86.0,7.0,4.0
246,236.0,6.0,4.0
252,227.0,21.0,4.0
77,68.0,5.0,4.0
39,21.0,14.0,4.0
125,113.0,8.0,4.0
256,248.0,4.0,4.0
111,102.0,5.0,4.0
212,194.0,14.0,4.0
48,40.0,4.0,4.0
534,507.0,23.0,4.0
340,320.0,16.0,4.0
79,69.0,6.0,4.0
88,78.0,6.0,4.0
215,194.0,17.0,4.0
62,49.0,9.0,4.0
57,45.0,8.0,4.0
140,127.0,9.0,4.0
124,114.0,6.0,4.0
216,199.0,13.0,4.0
305,284.0,17.0,4.0
215,200.0,11.0,4.0
68,56.0,8.0,4.0
56,46.0,6.0,4.0
451,430.0,17.0,4.0
130,120.0,6.0,4.0
35,25.0,6.0,4.0
56,43.0,9.0,4.0
41,34.0,3.0,4.0
203,190.0,9.0,4.0
153,140.0,9.0,4.0
217,205.0,8.0,4.0
60,44.0,12.0,4.0
159,150.0,5.0,4.0
189,175.0,10.0,4.0
209,188.0,17.0,4.0
219,204.0,11.0,4.0
102,92.0,6.0,4.0
124,110.0,10.0,4.0
82,70.0,8.0,4.0
166,153.0,9.0,4.0
254,242.0,8.0,4.0
141,129.0,8.0,4.0
66,56.0,6.0,4.0
72,64.0,4.0,4.0
46,37.0,5.0,4.0
57,47.0,6.0,4.0
169,161.0,4.0,4.0
51,44.0,3.0,4.0
157,147.0,6.0,4.0
120,109.0,7.0,4.0
108,99.0,5.0,4.0
152,137.0,11.0,4.0
91,81.0,6.0,4.0
47,39.0,4.0,4.0
161,144.0,13.0,4.0
93,86.0,3.0,4.0
163,146.0,13.0,4.0
94,81.0,9.0,4.0
87,76.0,7.0,4.0
459,434.0,21.0,4.0
176,158.0,14.0,4.0
565,545.0,16.0,4.0
68,56.0,8.0,4.0
74,66.0,4.0,4.0
126,108.0,14.0,4.0
31,21.0,6.0,4.0
116,108.0,4.0,4.0
120,111.0,5.0,4.0
138,123.0,11.0,4.0
186,178.0,4.0,4.0
192,178.0,10.0,4.0
147,138.0,5.0,4.0
94,82.0,8.0,4.0
233,220.0,9.0,4.0
22,14.0,4.0,4.0
51,41.0,6.0,4.0
100,90.0,6.0,4.0
81,70.0,7.0,4.0
38,30.0,4.0,4.0
352,334.0,14.0,4.0
181,170.0,7.0,4.0
163,155.0,4.0,4.0
110,94.0,12.0,4.0
48,41.0,3.0,4.0
851,825.0,22.0,4.0
299,287.0,8.0,4.0
125,111.0,10.0,4.0
75,70.0,1.0,4.0
155,141.0,10.0,4.0
108,99.0,5.0,4.0
154,143.0,7.0,4.0
92,84.0,4.0,4.0
219,206.0,9.0,4.0
93,77.0,12.0,4.0
179,168.0,7.0,4.0
315,289.0,22.0,4.0
317,301.0,12.0,4.0
93,82.0,7.0,4.0
98,88.0,6.0,4.0
60,50.0,6.0,4.0
59,50.0,5.0,4.0
58,48.0,6.0,4.0
280,271.0,5.0,4.0
150,142.0,4.0,4.0
152,138.0,10.0,4.0
66,56.0,6.0,4.0
145,132.0,9.0,4.0
104,86.0,14.0,4.0
96,83.0,9.0,4.0
150,140.0,6.0,4.0
47,39.0,4.0,4.0
197,178.0,15.0,4.0
74,63.0,7.0,4.0
30,22.0,4.0,4.0
75,68.0,3.0,4.0
124,115.0,5.0,4.0
105,94.0,7.0,4.0
158,144.0,10.0,4.0
33,21.0,8.0,4.0
163,154.0,5.0,4.0
42,33.0,5.0,4.0
45,35.0,6.0,4.0
73,61.0,8.0,4.0
86,74.0,8.0,4.0
253,236.0,13.0,4.0
51,42.0,5.0,4.0
127,107.0,16.0,4.0
59,50.0,5.0,4.0
284,263.0,17.0,4.0
69,61.0,4.0,4.0
264,248.0,12.0,4.0
117,106.0,7.0,4.0
57,49.0,4.0,4.0
17,7.0,6.0,4.0
94,85.0,5.0,4.0
288,269.0,15.0,4.0
52,42.0,6.0,4.0
106,94.0,8.0,4.0
66,57.0,5.0,4.0
127,113.0,10.0,4.0
79,71.0,4.0,4.0
47,32.0,11.0,4.0
139,125.0,10.0,4.0
98,88.0,6.0,4.0
237,226.0,7.0,4.0
177,166.0,7.0,4.0
98,89.0,5.0,4.0
77,64.0,9.0,4.0
28,14.0,10.0,4.0
208,197.0,7.0,4.0
198,183.0,11.0,4.0
95,80.0,11.0,4.0
100,92.0,4.0,4.0
175,167.0,4.0,4.0
159,134.0,21.0,4.0
18,10.0,4.0,4.0
52,43.0,5.0,4.0
110,96.0,10.0,4.0
59,48.0,7.0,4.0
134,114.0,16.0,4.0
146,122.0,20.0,4.0
60,47.0,9.0,4.0
66,53.0,9.0,4.0
48,39.0,5.0,4.0
149,138.0,7.0,4.0
85,77.0,4.0,4.0
88,76.0,8.0,4.0
52,41.0,7.0,4.0
334,316.0,14.0,4.0
107,98.0,5.0,4.0
96,87.0,5.0,4.0
398,385.0,9.0,4.0
81,73.0,4.0,4.0
131,114.0,13.0,4.0
103,92.0,7.0,4.0
245,231.0,10.0,4.0
31,23.0,4.0,4.0
108,98.0,6.0,4.0
515,496.0,15.0,4.0
158,147.0,7.0,4.0
75,68.0,3.0,4.0
54,46.0,4.0,4.0
137,124.0,9.0,4.0
188,177.0,7.0,4.0
199,184.0,11.0,4.0
276,262.0,10.0,4.0
85,73.0,8.0,4.0
90,81.0,5.0,4.0
110,97.0,9.0,4.0
57,48.0,5.0,4.0
142,132.0,6.0,4.0
78,69.0,5.0,4.0
35,30.0,1.0,4.0
343,328.0,11.0,4.0
104,85.0,15.0,4.0
374,360.0,10.0,4.0
99,81.0,14.0,4.0
150,138.0,8.0,4.0
117,93.0,20.0,4.0
37,23.0,10.0,4.0
38,28.0,6.0,4.0
82,73.0,5.0,4.0
83,72.0,7.0,4.0
110,101.0,5.0,4.0
234,221.0,9.0,4.0
156,146.0,6.0,4.0
271,254.0,13.0,4.0
145,128.0,13.0,4.0
70,59.0,7.0,4.0
401,386.0,11.0,4.0
487,451.0,32.0,4.0
388,362.0,22.0,4.0
39,27.0,8.0,4.0
77,69.0,4.0,4.0
251,243.0,4.0,4.0
317,302.0,11.0,4.0
55,44.0,7.0,4.0
47,39.0,4.0,4.0
230,215.0,11.0,4.0
190,180.0,6.0,4.0
227,209.0,14.0,4.0
30,22.0,4.0,4.0
173,155.0,14.0,4.0
44,36.0,4.0,4.0
163,153.0,6.0,4.0
148,137.0,7.0,4.0
93,84.0,5.0,4.0
107,91.0,12.0,4.0
190,176.0,10.0,4.0
170,160.0,6.0,4.0
187,179.0,4.0,4.0
191,179.0,8.0,4.0
26,18.0,4.0,4.0
137,128.0,5.0,4.0
101,89.0,8.0,4.0
